2019-06-14 17:10:12,131 - __main__ - INFO : started: [25053]
2019-06-14 17:10:12,131 - plugins.base - INFO : plugin[host] running ...
2019-06-14 17:12:17,255 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:18,255 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:22,259 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:24,259 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:27,265 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:30,263 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:32,271 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:32,271 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:37,276 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:38,275 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:42,282 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:44,279 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:47,288 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:50,283 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:52,293 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:52,294 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:57,295 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:12:58,295 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:02,301 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:04,299 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:07,307 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:10,303 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:12,311 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:12,312 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:17,315 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:18,316 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:22,321 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:24,319 - plugins.ens - DEBUG : ENS get event: {'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
2019-06-14 17:13:27,327 - plugins.base - DEBUG : plugin[host] make event:{'msg': {'disk': '{}', 'mem': 0, 'name': 'nameaaaa', 'cpu_core': 0, 'ip': '1.1.1.1', 'kernel': '', 'cpu': 0, 'arch': '', 'os': '', 'cpu_thread': 0, 'mac': ''}, 'type': 'host'}
